StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,EngagementScore,Consistency,StressImpact,TechScore,ResourceUsage,StudyEfficiency,AttendanceImpact,RiskScore
29,84,0,1,0,1,1,28,2,14,0,74,60,1,0,2,51.372727272727275,0.34523809523809523,0.0,4.9,24.666666666666668,2.0689655172413794,0.023809523809523808,22.650909090909092
29,84,1,1,1,1,1,21,2,10,1,57,48,1,2,3,72.97272727272727,0.34523809523809523,0.06896551724137931,3.7,19.666666666666668,1.6551724137931034,0.03571428571428571,14.810909090909092
29,84,1,1,1,1,1,28,2,14,0,74,60,1,0,2,56.372727272727275,0.34523809523809523,0.0,4.9,25.0,2.0689655172413794,0.023809523809523808,20.65090909090909
25,78,2,1,1,1,1,18,2,17,0,91,58,1,2,2,60.845454545454544,0.32051282051282054,0.08,5.8,31.0,2.32,0.02564102564102564,20.861818181818187
25,78,0,1,1,1,1,18,2,17,0,91,58,1,2,2,50.845454545454544,0.32051282051282054,0.08,5.8,30.333333333333332,2.32,0.02564102564102564,24.861818181818187
17,94,2,0,2,1,1,19,3,3,1,74,92,0,2,0,75.19090909090909,0.18085106382978725,0.11764705882352941,1.2,25.666666666666668,5.411764705882353,0.0,11.923636363636366
17,94,1,0,0,1,1,19,3,3,1,74,92,0,2,0,70.19090909090909,0.18085106382978725,0.11764705882352941,1.2,25.333333333333332,5.411764705882353,0.0,13.923636363636366
17,94,1,0,1,1,1,19,3,3,1,74,92,0,2,0,70.19090909090909,0.18085106382978725,0.11764705882352941,1.2,25.333333333333332,5.411764705882353,0.0,13.923636363636366
17,94,1,1,1,1,1,19,3,3,1,74,92,0,2,0,70.19090909090909,0.18085106382978725,0.11764705882352941,1.2,25.333333333333332,5.411764705882353,0.0,13.923636363636366
17,94,0,0,2,1,1,19,3,3,1,74,92,0,2,0,65.19090909090909,0.18085106382978725,0.11764705882352941,1.2,25.0,5.411764705882353,0.0,15.923636363636366
17,94,0,1,0,1,1,19,3,3,1,74,92,0,2,0,65.19090909090909,0.18085106382978725,0.11764705882352941,1.2,25.0,5.411764705882353,0.0,15.923636363636366
17,94,2,1,1,1,1,19,3,3,1,74,92,0,2,0,75.19090909090909,0.18085106382978725,0.11764705882352941,1.2,25.666666666666668,5.411764705882353,0.0,11.923636363636366
23,98,1,1,1,1,1,27,2,5,0,65,58,0,2,2,53.28181818181818,0.23469387755102042,0.08695652173913043,1.8,22.0,2.5217391304347827,0.02040816326530612,19.887272727272727
23,98,1,1,1,1,1,27,1,4,1,100,93,0,2,0,80.28181818181818,0.23469387755102042,0.08695652173913043,1.5,34.0,4.043478260869565,0.0,9.087272727272728
23,98,0,0,1,1,1,27,2,5,0,65,58,0,2,2,48.28181818181818,0.23469387755102042,0.08695652173913043,1.8,21.666666666666668,2.5217391304347827,0.02040816326530612,21.887272727272727
23,98,0,0,1,1,1,27,1,4,1,100,93,0,2,0,75.28181818181818,0.23469387755102042,0.08695652173913043,1.5,33.666666666666664,4.043478260869565,0.0,11.08727272727273
23,98,2,0,1,1,1,27,2,5,0,65,58,0,2,2,58.28181818181818,0.23469387755102042,0.08695652173913043,1.8,22.333333333333332,2.5217391304347827,0.02040816326530612,17.887272727272727
23,98,2,0,1,1,1,27,1,4,1,100,93,0,2,0,85.28181818181818,0.23469387755102042,0.08695652173913043,1.5,34.333333333333336,4.043478260869565,0.0,7.087272727272728
23,98,2,1,0,1,1,27,2,5,0,65,58,0,2,2,58.28181818181818,0.23469387755102042,0.08695652173913043,1.8,22.333333333333332,2.5217391304347827,0.02040816326530612,17.887272727272727
23,98,2,1,0,1,1,27,1,4,1,100,93,0,2,0,85.28181818181818,0.23469387755102042,0.08695652173913043,1.5,34.333333333333336,4.043478260869565,0.0,7.087272727272728
17,80,2,0,1,0,1,18,1,13,1,68,73,0,2,1,71.19090909090909,0.2125,0.11764705882352941,3.9,23.666666666666668,4.294117647058823,0.0125,16.323636363636368
17,80,2,0,1,0,1,24,3,11,1,64,69,1,0,2,70.39090909090909,0.2125,0.0,3.6999999999999997,22.333333333333332,4.0588235294117645,0.025,15.843636363636364
17,80,2,0,1,0,1,23,0,7,1,68,87,1,1,0,71.19090909090909,0.2125,0.058823529411764705,2.5,23.666666666666668,5.117647058823529,0.0,15.923636363636366
17,80,2,0,1,0,1,27,0,12,0,64,88,1,0,0,50.39090909090909,0.2125,0.0,3.9999999999999996,22.0,5.176470588235294,0.0,23.843636363636364
17,80,2,0,1,0,1,29,1,0,1,73,78,1,0,1,72.19090909090909,0.2125,0.0,0.4,25.333333333333332,4.588235294117647,0.0125,15.123636363636365
17,80,1,0,1,1,1,18,1,13,1,68,73,0,2,1,66.19090909090909,0.2125,0.11764705882352941,4.2,23.333333333333332,4.294117647058823,0.0125,18.323636363636368
17,80,1,0,1,1,1,24,3,11,1,64,69,1,0,2,65.39090909090909,0.2125,0.0,4.0,22.0,4.0588235294117645,0.025,17.843636363636364
17,80,1,0,1,1,1,23,0,7,1,68,87,1,1,0,66.19090909090909,0.2125,0.058823529411764705,2.8,23.333333333333332,5.117647058823529,0.0,17.923636363636366
17,80,1,0,1,1,1,27,0,12,0,64,88,1,0,0,45.39090909090909,0.2125,0.0,4.3,21.666666666666668,5.176470588235294,0.0,25.843636363636364
17,80,1,0,1,1,1,29,1,0,1,73,78,1,0,1,67.19090909090909,0.2125,0.0,0.7,25.0,4.588235294117647,0.0125,17.123636363636365
17,80,2,0,1,1,1,18,1,13,1,68,73,0,2,1,71.19090909090909,0.2125,0.11764705882352941,4.2,23.666666666666668,4.294117647058823,0.0125,16.323636363636368
17,80,2,0,1,1,1,24,3,11,1,64,69,1,0,2,70.39090909090909,0.2125,0.0,4.0,22.333333333333332,4.0588235294117645,0.025,15.843636363636364
17,80,2,0,1,1,1,23,0,7,1,68,87,1,1,0,71.19090909090909,0.2125,0.058823529411764705,2.8,23.666666666666668,5.117647058823529,0.0,15.923636363636366
17,80,2,0,1,1,1,27,0,12,0,64,88,1,0,0,50.39090909090909,0.2125,0.0,4.3,22.0,5.176470588235294,0.0,23.843636363636364
17,80,2,0,1,1,1,29,1,0,1,73,78,1,0,1,72.19090909090909,0.2125,0.0,0.7,25.333333333333332,4.588235294117647,0.0125,15.123636363636365
17,97,2,1,0,1,1,27,1,9,0,64,87,1,1,0,53.79090909090909,0.17525773195876287,0.058823529411764705,3.3999999999999995,22.0,5.117647058823529,0.0,19.483636363636364
17,97,2,1,0,1,1,25,2,20,1,70,82,1,1,1,74.99090909090908,0.17525773195876287,0.058823529411764705,6.7,24.333333333333332,4.823529411764706,0.010309278350515464,11.003636363636367
17,97,1,0,1,1,1,27,1,9,0,64,87,1,1,0,48.79090909090909,0.17525773195876287,0.058823529411764705,3.3999999999999995,21.666666666666668,5.117647058823529,0.0,21.483636363636364
17,97,1,0,1,1,1,25,2,20,1,70,82,1,1,1,69.99090909090908,0.17525773195876287,0.058823529411764705,6.7,24.0,4.823529411764706,0.010309278350515464,13.003636363636367
17,97,2,0,2,1,1,27,1,9,0,64,87,1,1,0,53.79090909090909,0.17525773195876287,0.058823529411764705,3.3999999999999995,22.0,5.117647058823529,0.0,19.483636363636364
17,97,2,0,2,1,1,25,2,20,1,70,82,1,1,1,74.99090909090908,0.17525773195876287,0.058823529411764705,6.7,24.333333333333332,4.823529411764706,0.010309278350515464,11.003636363636367
17,97,2,1,1,0,1,27,1,9,0,64,87,1,1,0,53.79090909090909,0.17525773195876287,0.058823529411764705,3.0999999999999996,22.0,5.117647058823529,0.0,19.483636363636364
17,97,2,1,1,0,1,25,2,20,1,70,82,1,1,1,74.99090909090908,0.17525773195876287,0.058823529411764705,6.4,24.333333333333332,4.823529411764706,0.010309278350515464,11.003636363636367
17,97,2,0,1,1,1,27,1,9,0,64,87,1,1,0,53.79090909090909,0.17525773195876287,0.058823529411764705,3.3999999999999995,22.0,5.117647058823529,0.0,19.483636363636364
17,97,2,0,1,1,1,25,2,20,1,70,82,1,1,1,74.99090909090908,0.17525773195876287,0.058823529411764705,6.7,24.333333333333332,4.823529411764706,0.010309278350515464,11.003636363636367
17,97,0,1,1,1,1,27,1,9,0,64,87,1,1,0,43.79090909090909,0.17525773195876287,0.058823529411764705,3.3999999999999995,21.333333333333332,5.117647058823529,0.0,23.483636363636364
17,97,0,1,1,1,1,25,2,20,1,70,82,1,1,1,64.99090909090908,0.17525773195876287,0.058823529411764705,6.7,23.666666666666668,4.823529411764706,0.010309278350515464,15.003636363636367
17,97,1,1,1,1,1,27,1,9,0,64,87,1,1,0,48.79090909090909,0.17525773195876287,0.058823529411764705,3.3999999999999995,21.666666666666668,5.117647058823529,0.0,21.483636363636364
17,97,1,1,1,1,1,25,2,20,1,70,82,1,1,1,69.99090909090908,0.17525773195876287,0.058823529411764705,6.7,24.0,4.823529411764706,0.010309278350515464,13.003636363636367
17,97,0,0,2,0,1,27,1,9,0,64,87,1,1,0,43.79090909090909,0.17525773195876287,0.058823529411764705,3.0999999999999996,21.333333333333332,5.117647058823529,0.0,23.483636363636364
17,97,0,0,2,0,1,25,2,20,1,70,82,1,1,1,64.99090909090908,0.17525773195876287,0.058823529411764705,6.4,23.666666666666668,4.823529411764706,0.010309278350515464,15.003636363636367
17,97,1,1,0,1,1,27,1,9,0,64,87,1,1,0,48.79090909090909,0.17525773195876287,0.058823529411764705,3.3999999999999995,21.666666666666668,5.117647058823529,0.0,21.483636363636364
17,97,1,1,0,1,1,25,2,20,1,70,82,1,1,1,69.99090909090908,0.17525773195876287,0.058823529411764705,6.7,24.0,4.823529411764706,0.010309278350515464,13.003636363636367
21,83,1,1,0,1,1,27,2,1,0,66,86,0,1,0,49.11818181818182,0.25301204819277107,0.047619047619047616,0.6,22.333333333333332,4.095238095238095,0.0,24.152727272727276
21,83,1,1,0,1,1,27,0,7,1,77,96,1,1,0,71.31818181818181,0.25301204819277107,0.047619047619047616,2.8,26.333333333333332,4.571428571428571,0.0,15.272727272727277
21,83,1,1,2,1,1,27,2,1,0,66,86,0,1,0,49.11818181818182,0.25301204819277107,0.047619047619047616,0.6,22.333333333333332,4.095238095238095,0.0,24.152727272727276
21,83,1,1,2,1,1,27,0,7,1,77,96,1,1,0,71.31818181818181,0.25301204819277107,0.047619047619047616,2.8,26.333333333333332,4.571428571428571,0.0,15.272727272727277
21,83,0,0,0,1,1,27,2,1,0,66,86,0,1,0,44.11818181818182,0.25301204819277107,0.047619047619047616,0.6,22.0,4.095238095238095,0.0,26.152727272727276
21,83,0,0,0,1,1,27,0,7,1,77,96,1,1,0,66.31818181818181,0.25301204819277107,0.047619047619047616,2.8,26.0,4.571428571428571,0.0,17.272727272727277
21,83,0,1,0,1,1,27,2,1,0,66,86,0,1,0,44.11818181818182,0.25301204819277107,0.047619047619047616,0.6,22.0,4.095238095238095,0.0,26.152727272727276
21,83,0,1,0,1,1,27,0,7,1,77,96,1,1,0,66.31818181818181,0.25301204819277107,0.047619047619047616,2.8,26.0,4.571428571428571,0.0,17.272727272727277
21,83,2,1,2,1,1,27,2,1,0,66,86,0,1,0,54.11818181818182,0.25301204819277107,0.047619047619047616,0.6,22.666666666666668,4.095238095238095,0.0,22.152727272727276
21,83,2,1,2,1,1,27,0,7,1,77,96,1,1,0,76.31818181818181,0.25301204819277107,0.047619047619047616,2.8,26.666666666666668,4.571428571428571,0.0,13.272727272727275
21,83,2,0,1,1,1,27,2,1,0,66,86,0,1,0,54.11818181818182,0.25301204819277107,0.047619047619047616,0.6,22.666666666666668,4.095238095238095,0.0,22.152727272727276
21,83,2,0,1,1,1,27,0,7,1,77,96,1,1,0,76.31818181818181,0.25301204819277107,0.047619047619047616,2.8,26.666666666666668,4.571428571428571,0.0,13.272727272727275
9,82,1,1,1,1,1,18,3,17,0,55,40,1,2,3,38.53636363636363,0.10975609756097561,0.2222222222222222,5.8,18.666666666666668,4.444444444444445,0.036585365853658534,28.98545454545455
9,82,1,1,1,1,1,25,3,13,0,73,46,1,2,3,42.13636363636363,0.10975609756097561,0.2222222222222222,4.6,24.666666666666668,5.111111111111111,0.036585365853658534,27.54545454545455
10,78,2,1,1,1,1,27,2,5,0,71,68,1,2,2,46.618181818181824,0.1282051282051282,0.2,2.2,24.333333333333332,6.8,0.02564102564102564,26.552727272727275
10,78,2,1,1,1,1,20,3,17,0,85,78,1,2,1,49.41818181818182,0.1282051282051282,0.2,5.8,29.0,7.8,0.01282051282051282,25.432727272727277
17,68,1,0,1,1,0,19,3,0,1,75,42,1,1,3,65.19090909090909,0.25,0.058823529411764705,0.7,25.666666666666668,2.4705882352941178,0.04411764705882353,20.723636363636366
17,68,1,0,1,1,0,24,2,4,1,87,64,1,2,2,67.5909090909091,0.25,0.11764705882352941,1.9,29.666666666666668,3.764705882352941,0.029411764705882353,20.163636363636364
17,68,1,0,1,1,0,20,3,19,1,88,49,1,1,3,67.7909090909091,0.25,0.058823529411764705,6.4,30.0,2.8823529411764706,0.04411764705882353,19.683636363636364
17,68,1,1,1,1,0,19,3,0,1,75,42,1,1,3,65.19090909090909,0.25,0.058823529411764705,0.7,25.666666666666668,2.4705882352941178,0.04411764705882353,20.723636363636366
17,68,1,1,1,1,0,24,2,4,1,87,64,1,2,2,67.5909090909091,0.25,0.11764705882352941,1.9,29.666666666666668,3.764705882352941,0.029411764705882353,20.163636363636364
17,68,1,1,1,1,0,20,3,19,1,88,49,1,1,3,67.7909090909091,0.25,0.058823529411764705,6.4,30.0,2.8823529411764706,0.04411764705882353,19.683636363636364
17,68,1,0,2,1,0,19,3,0,1,75,42,1,1,3,65.19090909090909,0.25,0.058823529411764705,0.7,25.666666666666668,2.4705882352941178,0.04411764705882353,20.723636363636366
17,68,1,0,2,1,0,24,2,4,1,87,64,1,2,2,67.5909090909091,0.25,0.11764705882352941,1.9,29.666666666666668,3.764705882352941,0.029411764705882353,20.163636363636364
17,68,1,0,2,1,0,20,3,19,1,88,49,1,1,3,67.7909090909091,0.25,0.058823529411764705,6.4,30.0,2.8823529411764706,0.04411764705882353,19.683636363636364
17,68,2,1,1,1,0,19,3,0,1,75,42,1,1,3,70.19090909090909,0.25,0.058823529411764705,0.7,26.0,2.4705882352941178,0.04411764705882353,18.723636363636366
17,68,2,1,1,1,0,24,2,4,1,87,64,1,2,2,72.5909090909091,0.25,0.11764705882352941,1.9,30.0,3.764705882352941,0.029411764705882353,18.163636363636364
17,68,2,1,1,1,0,20,3,19,1,88,49,1,1,3,72.7909090909091,0.25,0.058823529411764705,6.4,30.333333333333332,2.8823529411764706,0.04411764705882353,17.683636363636364
17,68,0,1,2,1,0,19,3,0,1,75,42,1,1,3,60.19090909090909,0.25,0.058823529411764705,0.7,25.333333333333332,2.4705882352941178,0.04411764705882353,22.723636363636366
17,68,0,1,2,1,0,24,2,4,1,87,64,1,2,2,62.59090909090909,0.25,0.11764705882352941,1.9,29.333333333333332,3.764705882352941,0.029411764705882353,22.163636363636364
17,68,0,1,2,1,0,20,3,19,1,88,49,1,1,3,62.790909090909096,0.25,0.058823529411764705,6.4,29.666666666666668,2.8823529411764706,0.04411764705882353,21.683636363636364
22,70,1,1,1,1,0,22,3,1,1,74,40,1,2,3,68.8,0.3142857142857143,0.09090909090909091,1.0,25.333333333333332,1.8181818181818181,0.04285714285714286,19.28
22,70,1,0,0,1,0,22,3,1,1,74,40,1,2,3,68.8,0.3142857142857143,0.09090909090909091,1.0,25.333333333333332,1.8181818181818181,0.04285714285714286,19.28
22,70,2,1,2,1,0,22,3,1,1,74,40,1,2,3,73.8,0.3142857142857143,0.09090909090909091,1.0,25.666666666666668,1.8181818181818181,0.04285714285714286,17.28
22,70,1,1,0,1,0,22,3,1,1,74,40,1,2,3,68.8,0.3142857142857143,0.09090909090909091,1.0,25.333333333333332,1.8181818181818181,0.04285714285714286,19.28
22,70,2,1,1,1,0,22,3,1,1,74,40,1,2,3,73.8,0.3142857142857143,0.09090909090909091,1.0,25.666666666666668,1.8181818181818181,0.04285714285714286,17.28
15,80,1,1,0,1,0,23,2,2,0,50,56,0,1,2,41.22727272727273,0.1875,0.06666666666666667,0.8999999999999999,17.0,3.7333333333333334,0.025,27.90909090909091
15,80,1,1,0,1,0,21,2,7,1,87,89,1,0,0,68.62727272727273,0.1875,0.0,2.8,29.666666666666668,5.933333333333334,0.0,16.54909090909091
15,80,1,1,0,1,0,23,1,13,1,56,75,1,2,1,62.42727272727273,0.1875,0.13333333333333333,4.6,19.333333333333332,5.0,0.0125,19.829090909090908
15,80,2,0,1,1,0,23,2,2,0,50,56,0,1,2,46.22727272727273,0.1875,0.06666666666666667,0.8999999999999999,17.333333333333332,3.7333333333333334,0.025,25.90909090909091
15,80,2,0,1,1,0,21,2,7,1,87,89,1,0,0,73.62727272727273,0.1875,0.0,2.8,30.0,5.933333333333334,0.0,14.54909090909091
15,80,2,0,1,1,0,23,1,13,1,56,75,1,2,1,67.42727272727274,0.1875,0.13333333333333333,4.6,19.666666666666668,5.0,0.0125,17.829090909090908
15,80,0,0,2,1,0,23,2,2,0,50,56,0,1,2,36.22727272727273,0.1875,0.06666666666666667,0.8999999999999999,16.666666666666668,3.7333333333333334,0.025,29.90909090909091
15,80,0,0,2,1,0,21,2,7,1,87,89,1,0,0,63.627272727272725,0.1875,0.0,2.8,29.333333333333332,5.933333333333334,0.0,18.54909090909091
15,80,0,0,2,1,0,23,1,13,1,56,75,1,2,1,57.42727272727273,0.1875,0.13333333333333333,4.6,19.0,5.0,0.0125,21.829090909090908
15,80,1,0,1,1,0,23,2,2,0,50,56,0,1,2,41.22727272727273,0.1875,0.06666666666666667,0.8999999999999999,17.0,3.7333333333333334,0.025,27.90909090909091
15,80,1,0,1,1,0,21,2,7,1,87,89,1,0,0,68.62727272727273,0.1875,0.0,2.8,29.666666666666668,5.933333333333334,0.0,16.54909090909091
15,80,1,0,1,1,0,23,1,13,1,56,75,1,2,1,62.42727272727273,0.1875,0.13333333333333333,4.6,19.333333333333332,5.0,0.0125,19.829090909090908
15,80,1,1,1,1,0,23,2,2,0,50,56,0,1,2,41.22727272727273,0.1875,0.06666666666666667,0.8999999999999999,17.0,3.7333333333333334,0.025,27.90909090909091
15,80,1,1,1,1,0,21,2,7,1,87,89,1,0,0,68.62727272727273,0.1875,0.0,2.8,29.666666666666668,5.933333333333334,0.0,16.54909090909091
15,80,1,1,1,1,0,23,1,13,1,56,75,1,2,1,62.42727272727273,0.1875,0.13333333333333333,4.6,19.333333333333332,5.0,0.0125,19.829090909090908
12,75,2,1,1,1,1,21,0,16,1,66,71,1,2,1,66.38181818181818,0.16,0.16666666666666666,5.5,23.0,5.916666666666667,0.013333333333333334,19.24727272727273
12,75,2,1,1,1,1,22,2,20,1,55,48,1,1,3,64.18181818181819,0.16,0.08333333333333333,6.7,19.333333333333332,4.0,0.04,19.727272727272727
29,78,1,0,2,1,0,28,0,2,1,67,91,1,2,0,73.77272727272728,0.3717948717948718,0.06896551724137931,1.2999999999999998,23.0,3.1379310344827585,0.0,15.69090909090909
29,78,2,1,1,1,0,28,0,2,1,67,91,1,2,0,78.77272727272728,0.3717948717948718,0.06896551724137931,1.2999999999999998,23.333333333333332,3.1379310344827585,0.0,13.69090909090909
